"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1692","Check displaying of dashboard page","LMS system","2026-08-03","passed","2026-08-03","Dashboard","Dashboard","",""
"","2946","Create course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1851","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1699","Navigation from login page to registration page","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1722","Check displaying of dashboard page","LMS system","2026-08-03","passed","2026-08-03","Dashboard","Dashboard","",""
"","3570","Create course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1598","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","2099","Check displaying of empty courses list","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1779","Registration with correct email, username and password","LMS system","2026-08-03","passed","2026-08-03","Registration","Authentication","",""
"","1351","Navigation from login page to registration page","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1476","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","7046","User login with correct email and password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","3572","User login with correct email and password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","1560","Check displaying of empty courses list","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1541","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","5690","Edit course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","2103","Registration with correct email, username and password","LMS system","2026-08-03","passed","2026-08-03","Registration","Authentication","",""
"","2206","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
"","4367","Edit course","LMS system","2026-08-03","passed","2026-08-03","Courses","Courses","",""
"","1696","User login with wrong email or password","LMS system","2026-08-03","passed","2026-08-03","Authorization","Authentication","",""
